,lat,lon
6541,48.8444,2.37314
3460,48.84473,2.37351
3789,48.844640000000005,2.3736900000000003
2157,48.84447,2.37332
2686,48.84451,2.37339
6084,48.84437,2.37319
8377,48.84459,2.37351
1299,48.84463,2.37315
7438,48.84454,2.3736200000000003
8433,48.84459,2.37351
9101,48.84473,2.37318
5166,48.84446,2.3732
9367,48.8447,2.37357
1645,48.84466,2.37338
5040,48.84462,2.37344
4706,48.8446,2.37363
8259,48.84459,2.37351
1928,48.84465,2.37326
5643,48.84456,2.37372
5062,48.84462,2.37344
1094,48.84454,2.37333
7412,48.84454,2.3736200000000003
7614,48.84437,2.37337
6058,48.84437,2.37319
6057,48.84437,2.37319
10880,48.8444,2.37331
974,48.84454,2.37333
4528,48.84458,2.37326
1685,48.84466,2.37338
3037,48.844440000000006,2.37338
4202,48.84476,2.37332
4546,48.84458,2.37326
6953,48.84441,2.37344
2227,48.84447,2.37332
2252,48.84447,2.37332
6358,48.84462,2.37332
467,48.84462,2.37374
5772,48.84463,2.37358
7991,48.84456,2.37357
9193,48.84466,2.37351
9217,48.84466,2.37351
4816,48.8446,2.37363
6554,48.8444,2.37314
3431,48.84473,2.37351
4069,48.84476,2.37332
4027,48.84476,2.37345
10352,48.8446,2.37321
7940,48.84456,2.37357
6278,48.84434,2.37342
9818,48.84459,2.3730900000000004
159,48.84473,2.37338
8693,48.84451,2.37366
2445,48.84451,2.37326
528,48.84462,2.37374
154,48.84473,2.37338
6974,48.84441,2.37344
7741,48.84437,2.37337
7395,48.84458,2.37368
1984,48.84443,2.37326
9740,48.84443,2.37355
4160,48.84476,2.37332
8339,48.84459,2.37351
9287,48.84466,2.37351
10878,48.8444,2.37331
9023,48.84473,2.37318
6433,48.84462,2.37332
4128,48.84476,2.37332
8074,48.84447,2.37361
10673,48.84453,2.37321
5783,48.84463,2.37358
6886,48.84456,2.37315
8059,48.84447,2.37361
9590,48.84443,2.37355
4986,48.84462,2.37344
3519,48.84473,2.37351
1156,48.84463,2.37315
3464,48.84473,2.37351
7336,48.84458,2.37368
2390,48.84447,2.37332
3750,48.844640000000005,2.3736900000000003
3294,48.84448,2.37345
4960,48.84462,2.37344
4874,48.84462,2.37344
2804,48.84438,2.3734900000000003
3273,48.84448,2.37345
9385,48.8447,2.37357
8379,48.84459,2.37351
3594,48.84473,2.37351
5794,48.84463,2.37358
3443,48.84473,2.37351
3662,48.844640000000005,2.3736900000000003
3725,48.844640000000005,2.3736900000000003
3581,48.84473,2.37351
8703,48.8447,2.37344
6798,48.84456,2.37315
